domain,cue_family,n_patterns,source_buckets,source_refs,example_phrases
claim-risk,authority_evoking,7,advertising_substantiation_literature; cialdini_principle; cialdini_principle; advertising_substantiation_literature,Cialdini (2001); Cialdini (2001); FTC truth-in-advertising materials; FTC truth-in-advertising materials,expert-recommended; recommended by experts; trusted by professionals; industry-leading; professional-grade
claim-risk,certainty_guarantee,8,advertising_substantiation_literature,FTC truth-in-advertising materials,guaranteed results; money-back guarantee; proven results; always works; never fails
claim-risk,social_proof,8,advertising_substantiation_literature; cialdini_principle; cialdini_principle; advertising_substantiation_literature,Cialdini (2001); Cialdini (2001); FTC truth-in-advertising materials; FTC truth-in-advertising materials,loved by thousands; used by thousands; chosen by millions; #1 choice; most popular
claim-risk,superiority_performance,9,advertising_substantiation_literature,FTC truth-in-advertising materials,best-in-class; best on the market; ultimate solution; unbeatable performance; fastest way
pressure-risk,coercive_cta,8,advertising_substantiation_literature; dark_patterns_taxonomy; dark_patterns_taxonomy; advertising_substantiation_literature; dark_patterns_taxonomy; cialdini_principle,FTC truth-in-advertising materials; Gray et al. (2018); Mathur et al. (2019); Gray et al. (2018); Mathur et al. (2019); Cialdini (2001); Gray et al. (2018); Mathur et al. (2019); FTC truth-in-advertising materials,buy now; sign up now; join now; claim your spot now; claim it now
pressure-risk,fear_loss_framing,8,advertising_substantiation_literature; dark_patterns_taxonomy; dark_patterns_taxonomy; cialdini_principle,FTC truth-in-advertising materials; Gray et al. (2018); Mathur et al. (2019); Gray et al. (2018); Mathur et al. (2019); Cialdini (2001),don't miss out; miss out; avoid losing; don't risk; protect yourself now
pressure-risk,scarcity_marking,8,advertising_substantiation_literature; cialdini_principle; cialdini_principle; dark_patterns_taxonomy,Cialdini (2001); Cialdini (2001); Gray et al. (2018); Mathur et al. (2019); FTC truth-in-advertising materials,limited spots; few left; only a few left; few seats left; limited availability
pressure-risk,temporal_urgency,8,dark_patterns_taxonomy; dark_patterns_taxonomy; advertising_substantiation_literature; dark_patterns_taxonomy; cialdini_principle,Gray et al. (2018); Mathur et al. (2019); Gray et al. (2018); Mathur et al. (2019); Cialdini (2001); Gray et al. (2018); Mathur et al. (2019); FTC truth-in-advertising materials,act now; act today; today only; last chance; don't wait
protective,transparency_supporting,8,consumer_information_quality,Information quality / fair communication literature,learn more; see details; compare options; explore features; review the details
