outcome,cov_type_used,term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
PPI_100w,cluster_template_key,Intercept,0.007107220980383434,0.02197103028122245,0.32348146124297245,0.7463306452624833,-0.035955207074051504,0.05016964903481837
PPI_100w,cluster_template_key,C(regime_key)[T.growth_optimized],0.5497871265668879,0.06257770184158713,8.785671419488228,1.5543332301376033e-18,0.4271370847220913,0.6724371684116844
PPI_100w,cluster_template_key,C(regime_key)[T.informational],0.15209164463324185,0.07977226007418342,1.906573093100355,0.056575892151507635,-0.004259112077520166,0.30844240134400386
PPI_100w,cluster_template_key,C(regime_key)[T.trust_reassurance],-0.005616998854256239,0.02746097739173815,-0.20454475360174754,0.8379278228567532,-0.059439525522331685,0.048205527813819204
PPI_100w,cluster_template_key,C(model_key)[T.mistralai/Mistral-7B-Instruct-v0.3],-0.032237325941336124,0.021674044548687574,-1.4873701061617586,0.13691708776072553,-0.07471767265608045,0.010243020773408211
PPI_100w,cluster_template_key,C(category_key)[T.budgeting_app],0.0843624721222074,0.03509455513546153,2.4038621317915716,0.01622289024185036,0.015578408003247612,0.1531465362411672
PPI_100w,cluster_template_key,C(category_key)[T.cloud_backup_service],-0.005838118712170649,0.020624640779242406,-0.2830652312764837,0.7771268334545974,-0.046261671833561877,0.034585434409220586
PPI_100w,cluster_template_key,C(category_key)[T.exam_prep_app],0.11497338015039603,0.05689462148887886,2.0208128139646693,0.04329914584227985,0.0034619711181548413,0.2264847891826372
PPI_100w,cluster_template_key,C(category_key)[T.password_manager],-0.01764531792017935,0.02851560429342117,-0.6187951599626559,0.5360513111219027,-0.07353487533268058,0.03824423949232188
PPI_100w,cluster_template_key,C(category_key)[T.website_builder],0.008261547458798464,0.024032931098461788,0.3437594617548435,0.731027189116167,-0.03884213193711928,0.05536522685471621
PPI_100w,cluster_template_key,C(regime_key)[T.growth_optimized]:C(model_key)[T.mistralai/Mistral-7B-Instruct-v0.3],-0.441764776093072,0.08317930925775235,-5.310993563605475,1.0902918149599527e-07,-0.6047932264971857,-0.27873632568895834
