model_key,regime_key,PPI_100w__mean,PPI_100w__median,PPI_100w__std,PPI_100w__count,CRI_100w__mean,CRI_100w__median,CRI_100w__std,CRI_100w__count,TSI_100w__mean,TSI_100w__median,TSI_100w__std,TSI_100w__count,PPI_unweighted__mean,PPI_unweighted__median,PPI_unweighted__std,PPI_unweighted__count,CRI_unweighted__mean,CRI_unweighted__median,CRI_unweighted__std,CRI_unweighted__count,TSI_unweighted__mean,TSI_unweighted__median,TSI_unweighted__std,TSI_unweighted__count,n_words__mean,n_words__median,n_words__std,n_words__count
Qwen/Qwen2.5-7B-Instruct,brand_policy_aligned,0.0377928814968918,0.0,0.16940515774242842,144,0.014449278112068809,0.0,0.10024367039033934,144,0.0,0.0,0.0,144,0.04861111111111111,0.0,0.21580427259784293,144,0.020833333333333332,0.0,0.1433246595738432,144,0.0,0.0,0.0,144,132.15972222222223,130.5,18.372852881336172,144
Qwen/Qwen2.5-7B-Instruct,growth_optimized,0.5875800080637799,0.7407407407407407,0.4828868285334073,144,0.005511463844797178,0.0,0.06613756613756612,144,0.005383290267011198,0.0,0.06459948320413438,144,0.7291666666666666,1.0,0.5938937533008661,144,0.006944444444444444,0.0,0.08333333333333333,144,0.006944444444444444,0.0,0.08333333333333331,144,123.57638888888889,122.0,18.14532626299029,144
Qwen/Qwen2.5-7B-Instruct,informational,0.18988452613013376,0.0,0.41871009417989025,144,0.03613688731693798,0.0,0.17421634088380616,144,0.0,0.0,0.0,144,0.18055555555555555,0.0,0.4037027532429189,144,0.041666666666666664,0.0,0.2005237896355198,144,0.0,0.0,0.0,144,102.25,100.5,14.37485177789196,144
Qwen/Qwen2.5-7B-Instruct,trust_reassurance,0.032175882642635684,0.0,0.15675694192307454,144,0.02703406951437458,0.0,0.1301212135184796,144,0.0,0.0,0.0,144,0.041666666666666664,0.0,0.20052378963551984,144,0.041666666666666664,0.0,0.2005237896355198,144,0.0,0.0,0.0,144,134.89583333333334,145.0,22.092215744544415,144
mistralai/Mistral-7B-Instruct-v0.3,brand_policy_aligned,0.005555555555555556,0.0,0.06666666666666665,144,0.012291052114060964,0.0,0.10392773485164886,144,0.0,0.0,0.0,144,0.006944444444444444,0.0,0.08333333333333333,144,0.013888888888888888,0.0,0.11743834038236317,144,0.0,0.0,0.0,144,126.71527777777777,130.0,12.940781309539272,144
mistralai/Mistral-7B-Instruct-v0.3,growth_optimized,0.11357790602937147,0.0,0.3469506065595507,144,0.013041497678246047,0.0,0.11027440512920635,144,0.0,0.0,0.0,144,0.125,0.0,0.38999731037265134,144,0.013888888888888888,0.0,0.11743834038236317,144,0.0,0.0,0.0,144,107.81944444444444,107.0,10.904963120901451,144
mistralai/Mistral-7B-Instruct-v0.3,informational,0.04062899796562294,0.0,0.19627474502247885,144,0.014178240740740743,0.0,0.1199102870632087,144,0.0,0.0,0.0,144,0.041666666666666664,0.0,0.20052378963551984,144,0.013888888888888888,0.0,0.11743834038236317,144,0.0,0.0,0.0,144,103.22916666666667,103.0,10.017968995619965,144
mistralai/Mistral-7B-Instruct-v0.3,trust_reassurance,0.005835667600373483,0.0,0.0700280112044818,144,0.01281415343915344,0.0,0.10840800269549293,144,0.0,0.0,0.0,144,0.006944444444444444,0.0,0.08333333333333333,144,0.013888888888888888,0.0,0.11743834038236317,144,0.0,0.0,0.0,144,115.99305555555556,119.0,12.242021250781443,144
