hypothesis_slot,outcome,group_a,group_b,alternative_direction,mean_a,mean_b,diff_a_minus_b,direction_ok_flag,mannwhitney_u_two_sided,p_two_sided,mannwhitney_u_directional,p_directional,cohens_d_a_minus_b,bootstrap_mean_diff_a_minus_b,ci_low,ci_high
H1_like,PPI_100w,growth_optimized,informational,greater,0.35057895704657566,0.11525676204787838,0.23532219499869728,1,51835.5,6.897562322696336e-12,51835.5,3.448781161348168e-12,0.5668657076571286,0.23564590958171716,0.16762152659337307,0.30036775264952315
H1_like,CRI_100w,growth_optimized,informational,greater,0.009276480761521612,0.025157564028839362,-0.01588108326731775,0,40750.0,0.12753014990658842,40750.0,0.9364983464111166,-0.1282638499232419,-0.01581287076917289,-0.03669950212047586,0.003616804672806667
H2_like,PPI_100w,brand_policy_aligned,growth_optimized,less,0.021674218526223678,0.35057895704657566,-0.32890473852035196,1,26519.5,3.5982773904557517e-26,26519.5,1.7991386952278758e-26,-0.9315868737139341,-0.3286053432307732,-0.3883226710649189,-0.2722569059685468
H2_like,CRI_100w,brand_policy_aligned,growth_optimized,less,0.013370165113064887,0.009276480761521612,0.004093684351543276,0,41755.5,0.48450399299162117,41755.5,0.7585191759281498,0.04240116197214563,0.0041870903297704385,-0.01043700391518825,0.01950833191745684
H4_like,PPI_100w,trust_reassurance,growth_optimized,less,0.01900577512150458,0.35057895704657566,-0.33157318192507107,1,26399.0,9.873434744512836e-27,26399.0,4.936717372256418e-27,-0.9427694848208316,-0.33238494763064896,-0.387072035638919,-0.2770219844016321
H4_like,CRI_100w,trust_reassurance,growth_optimized,less,0.019924111476764008,0.009276480761521612,0.010647630715242397,0,42184.0,0.1328923976855484,42184.0,0.9338257845721117,0.10017468324745803,0.010902336799128408,-0.006327386599105818,0.027954704666373325
