index_label,n,pearson_r,spearman_r,mean_diff,sd_diff,loa_low,loa_high,mean_rule,mean_judge,approx_equiv_small_bias_flag
PPI,96,0.38853839460219636,0.31545622819425,-0.6354166666666666,1.0272066533915796,-2.6487417073141626,1.3779083739808295,0.21875,0.8541666666666666,0
CRI,96,-0.052408089729178715,-0.05087942429239535,-2.84375,1.5649323173526504,-5.911017342011195,0.22351734201119466,0.041666666666666664,2.8854166666666665,0
TSI,96,,,-1.1041666666666667,0.5125615067927102,-2.1087872199803788,-0.09954611335295471,0.0,1.1041666666666667,0
